id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,director,crew_size,profit_musd,roi
597,Titanic,Nothing on earth could come between them.,1997-11-18,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,en,200.0,2264.162353,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",26625,7.903,40.938,194.0,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Swedish', 'iso_639_1': 'sv', 'name': 'svenska'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher|Gloria Stuart|Bill Paxton|Bernard Hill|David Warner|Victor Garber|Jonathan Hyde|Suzy Amis|Lewis Abernathy|Nicholas Cascone|Anatoly M. Sagalevitch|Danny Nucci|Jason Barry|Ewan Stewart|Ioan Gruffudd|Jonny Phillips|Mark Lindsay Chapman|Richard Graham|Paul Brightwell|Ron Donachie|Eric Braeden|Charlotte Chatton|Bernard Fox|Michael Ensign|Fannie Brett|Jenette Goldstein|Camilla Overbye Roos|Linda Kerns|Amy Gaipa|Martin Jarvis|Rosalind Ayres|Rochelle Rose|Jonathan Evans-Jones|Brian Walsh|Rocky Taylor|Alexandrea Owens|Simon Crane|Edward Fletcher|Scott G. Anderson|Martin East|Craig Kelly|Gregory Cooke|Liam Tuohy|James Lancaster|Elsa Raven|Lew Palter|Reece P. Thompson III|Laramie Landis|Amber Waddell|Alison Waddell|Mark Rafael Truitt|John Walcutt|Terry Forrestal|Derek Lea|Richard Ashton|Sean Nepita|Brendan Connolly|David Cronnelly|Garth Wilton|Martin Laing|Richard Fox|Nick Meaney|Kevin Owers|Mark Capri|Marc Cass|Paul Herbert|Emmett James|Chris Byrne|Oliver Page|James Garrett|Erik Holland|Jari Kinnunen|Anders Falk|Martin Hub|Seth Adkins|Barry Dennen|Vern Urich|Rebecca Klingler|Tricia O'Neil|Kathleen S. Dunn|Romeo Francis|Mandana Marino|Van Ling|Bjørn Olsen|Dan Pettersson|Shay Duffin|Greg Ellis|Diana Morgan|Kris Andersson|Bobbie Bates|Aaron James Cash|Anne Fletcher|Edmond Alan Forsyth|Andie Hicks|Scott Hislop|Stan Mazin|Lisa Ratzin|Julene Renee|Alexandra Boyd|James Cameron|Mike Butters|Kevin De La Noy|Tony Kenny|Sean Lawlor|Don Lynch|Johnny Martin|Meghan McLeod|Steven Quale|R. Gern Trowbridge|Olivia Rosewood|John Slade|Brian McDermott,116,James Cameron,262,2064.162353,10.320811765
2840,La Grotte aux loups,,1980-08-29,"[{'id': 80, 'name': 'Crime'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,fr,,,"[{'id': 1245, 'logo_path': '/suKdkPTtHn0DzGYmrXCA506dJON.png', 'name': 'TSR', 'origin_country': 'CH'}, {'id': 89795, 'logo_path': None, 'name': 'Telvétia', 'origin_country': 'CH'}, {'id': 22123, 'logo_path': '/zPTy6QDAlCKGeAALZoFEL3QAlut.png', 'name': 'TF1', 'origin_country': 'FR'}, {'id': 23448, 'logo_path': '/rKUrVCN0CkbrsaX3iO6bdx1cHYJ.png', 'name': 'Telfrance', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",0,0.0,0.1174,93.0,"A postman in a small mountain village finds a woman and her son both dead in the ""grotte aux loups"" (cave of wolves). He soon begins to realize than it's not natural death, and that someone in the village in behind their murder, while tragic events occur.","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",/dhhxhezlYE0ocxt72cLzbCO6L18.jpg,Claude Jade|Alain Claessens|Michel Cassagne|Maurice Aufair|Bernard Born|Jacqueline Burnand|Neige Dolsky|Yvonne Stara|Jean-Marc Stehlé|Adrien Nicati|William Jacques|Jean-Marc Henchoz,12,Bernard Toublanc-Michel,6,,
12445,Harry Potter and the Deathly Hallows: Part 2,It all ends.,2011-07-12,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","{'id': 1241, 'name': 'Harry Potter Collection', 'poster_path': '/eVPs2Y0LyvTLZn6AP5Z6O2rtiGB.jpg', 'backdrop_path': '/kmEsQL2vOTA0jnM28fXS45Ky8kX.jpg'}",en,125.0,1341.511219,"[{'id': 174, 'logo_path': '/ingPVoHnINIrFR7WHmYux1f5pES.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",21556,8.083,20.4937,130.0,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Alan Rickman|Michael Gambon|Warwick Davis|Helena Bonham Carter|Ciarán Hinds|Matthew Lewis|John Hurt|Evanna Lynch|Robbie Coltrane|Kelly Macdonald|Tom Felton|Helen McCrory|Jason Isaacs|Maggie Smith|David Thewlis|Gary Oldman|David Bradley|Julie Walters|Gemma Jones|Dave Legeno|Miriam Margolyes|Nick Moran|James Phelps|Oliver Phelps|Clémence Poésy|Natalia Tena|Mark Williams|Bonnie Wright|Domhnall Gleeson|Graham Duff|Anthony Allgood|Rusty Goffe|Jon Key|Ian Peck|Benn Northover|Hebe Beardsall|Devon Murray|Jessie Cave|Afshan Azad|Isabella Laughland|Anna Shaffer|Georgina Leonidas|Freddie Stroma|Alfred Enoch|Katie Leung|William Melling|Sian Grace Phillips|Ralph Ineson|Suzie Toase|Jim Broadbent|Scarlett Hefner|Josh Herdman|Louis Cordice|Amber Evans|Ruby Evans|George Harris|Chris Rankin|Guy Henry|Phil Wright|Gary Sayer|Tony Adkins|Penelope McGhie|Emma Thompson|Ellie Darcey-Alden|Ariella Paradise|Benedict Clarke|Leslie Phillips|Alfie McIlwain|Rohan Gotobed|Geraldine Somerville|Adrian Rawlins|Toby Papworth|Timothy Spall|Peter G. Reed|Judith Sharp|Emil Hostina|Bob Yves Van Hellenberg Hubar|Granville Saxton|Tony Kirwood|Ashley McGuire|Arthur Bowen|Daphne de Beistegui|Will Dunn|Jade Gordon|Bertie Gilbert|Helena Barlow|Ryan Turner|Paul Bailey|Sean Biggerstaff|Vinnie Clarke|David Heyman|Charlie Hobbs|Luke Newberry|Keijo J. Salmela|Spencer Wilding|Harrison Davis|Annabelle Davis|Samantha Davis|Natalie Hallam|Nikki Bond|Nick Turner,105,David Yates,159,1216.511219,9.732089752
19995,Avatar,Enter the world of Pandora.,2009-12-16,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",en,237.0,2923.706026,"[{'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 133789, 'logo_path': '/bJdeIb1ET3BkyodAASVDq1x3mls.png', 'name': 'Ingenious Film Partners', 'origin_country': 'GB'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",33185,7.599,102.5389,162.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso|Dileep Rao|Matt Gerald|Sean Anthony Moran|Jason Whyte|Scott Lawrence|Kelly Kilgour|James Patrick Pitt|Sean Patrick Murphy|Peter Dillon|Kevin Dorman|Kelson Henderson|David Van Horn|Jacob Tomuri|Michael Blain-Rozgay|Jon Curry|Julene Renee|Luke Hawker|Woody Schultz|Peter Mensah|Sonia Yee|Jahnel Curfman|Ilram Choi|Kyla Warren|Lisa Roumain|Debra Wilson|Taylor Kibby|Jodie Landau|Chris Mala|Julie Lamm|Cullen B. Madden|Joseph Brady Madden|Frankie Torres|Austin Wilson|Sara Wilson|Tamica Washington-Miller|Lucy Briant|Nathan Meister|Gerry Blair|Matthew Chamberlain|Paul Yates|Wray Wilson|James Gaylyn|Melvin Leno Clark III|Carvon Futrell|Brandon Jelkes|Micah Moch|Haniyyah Tahirah|Christopher Nolen|Christa Oliver|April Marie Thomas|Bravita A. Threatt|Alicia Vela-Bailey|Larry Rew|Dina Morrone|Rodney Cook|Nicole Dionne|Rowan Bettjeman,67,James Cameron,991,2686.706026,11.33631234599156
24428,The Avengers,Some assembly required.,2012-04-25,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,220.0,1518.815515,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",34857,7.894,49.1884,143.0,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Tom Hiddleston|Clark Gregg|Cobie Smulders|Stellan Skarsgård|Samuel L. Jackson|Gwyneth Paltrow|Paul Bettany|Alexis Denisof|Tina Benko|Jerzy Skolimowski|Kirill Nikiforov|Jeff Wolfe|M'laah Kaur Singh|Rashmi Rustagi|Powers Boothe|Jenny Agutter|Arthur Darbinyan|Donald Li|Warren Kole|Alicia Sixtos|Jesse García|Maximiliano Hernández|Dieter Riesle|Kenneth Tigar|Walter Perez|Harry Dean Stanton|Josh Cowdery|Ashley Johnson|Katsumi Komatsu|Yumiko Komatsu|Momoko Komatsu|Robert Clohessy|Enver Gjokaj|Fernanda Toker|Andrea Vecchio|Robin Swoboda|Brent McGee|Jamie McShane|Michael Zhang|William-Christopher Stephens|Kelley Robins Hicks|Romy Rosemont|James Eckhouse|Stan Lee|Thomas Roberts|Pat Kiernan|Damion Poitier|Lou Ferrigno|Jillian Morgese|Catherine Anderson|Ricardo Andres|Logan Bennett|Mayank Bhatter|Sharita Bone|Jason Botsford|Mary Kate Campbell|Gene N. Chavez|Layla Cushman|Robert Dean|Rick Dremann|Rod Fielder|Eric Frank|Israel Hall|Carmen Dee Harris|Alexander Christopher Jones|Mike Karban|Demoine Kinney|Andrew Knode|Annette Lawless|Kimberly J. Mahoney|Todd Manes|Jorge Mardel|Michael McMillan|Sean Meehan|Holly Neelie|Caleb Daniel Noal|Jeremy Orr|Nate Paige|Martin Palmer|Maria Perossa|Caleb Pieplow|Alexander Daniel Pimentel|Frank Powers|Jaime Powers|Brent Reichert|Kelly Ruble|Gina Sarno|Robert B. Schneider IV|Jeff Seich|Christina Shaffer|Douglas Slygh|Colin Strause|Robert P. Thitoff|George Thomas|Shane Thompson|Jerry Lee Tucker|Tai Urban|Chris Vaina|Sandra Weston|Seth Zielicke|Alex DeCourville|Andrea-Nichole Olivas|Tina Grimm|Evan Kole|Hank Amos|Joti Nagra|Francisco Peramos,113,Joss Whedon,642,1298.815515,5.903706886363636
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,235.0,1405.403694,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23977,7.271,16.8979,141.0,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson|Elizabeth Olsen|Paul Bettany|Cobie Smulders|Anthony Mackie|Hayley Atwell|Idris Elba|Linda Cardellini|Stellan Skarsgård|Claudia Kim|Thomas Kretschmann|Andy Serkis|Julie Delpy|Stan Lee|Henry Goodman|Chris Luca|Brian Schaeffer|Dominique Provost-Chalkley|Isaac Andrews|Gareth Kieran Jones|Chan Woo Lim|Minhee Yeo|Bentley Kalu|Julian Bleach|Christopher Beasley|Vuyo Dabula|Nondumiso Tembe|Kabelo Thai|Lele Ledwaba|Mandla Gaduka|Harriet Lenabe|Beulah Hashe|Musca Kumalo|Mathapelo September|Antony Acheampong|Chioma Anyanwu|Ben Sakamoto|Imogen Poynton|Isabella Poynton|Ingvild Deila|Sunny Yeo|Namju Go|Mina Kweon|Earl T. Kim|Arthur Lee|Verity Hewlett|Michael Matovski|Alma Noce|Riccardo Richetta|Constanza Ruff|Monty Mclaren-Clark|Julia Krynke|Tony Christian|Ian Kay|Barry Aird|Aaron Himelstein|Kerry Condon|Jaiden Stafford|Josh Brolin|Robert J. Fraser|Lou Ferrigno|Zakk Pierce|Freddie Andrews|Marian Lorencik|Daniel Westwood,74,Joss Whedon,653,1170.403694,4.98044125106383
109445,Frozen,Only the act of true love will thaw a frozen heart.,2013-11-20,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","{'id': 386382, 'name': 'Frozen Collection', 'poster_path': '/13Op41T3cALJedrKqYPrlc3cIbO.jpg', 'backdrop_path': '/s3vdRkK7KZFUDC8HEJo2GRKyVhW.jpg'}",en,150.0,1274.219009,"[{'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",17256,7.248,19.2872,102.0,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/itAKcobTYGpYT8Phwjd8c9hleTo.jpg,Idina Menzel|Kristen Bell|Jonathan Groff|Josh Gad|Livvy Stubenrauch|Santino Fontana|Eva Bella|Alan Tudyk|Maia Wilson|Ciarán Hinds|Annie Lopez|Annaleigh Ashford|Paul Briggs|Stephen J. Anderson|Maurice LaMarche|Jennifer Lee|Chris Williams|Edie McClurg|Robert Pine|Spencer Lacey Ganus|Jesse Corti|Jeffrey Marcus|Tucker Gilmore|Ava Acres|Stephen Apostolina|Kirk Baily|Jenica Bergere|David Boat|Tyree Brown|Woody Buck|June Christopher|Lewis Cleale|Wendy Cutler|Terri Douglas|Eddie Frierson|Jean Gilpin|Jackie Gonneau|Nicholas Guest|Bridget Hoffman|Nick Jameson|Daniel Kaz|John Lavelle|Patricia Lentz|Katie Lowes|Mona Marshall|Dara McGarry|Scott Menville|Adam Overett|Paul Pape|Courtney Peldon|Jennifer Perry|Raymond S. Persi|Jean-Michel Richaud|Lynwood Robinson|Carter Sand|Jadon Sand|Katie Silverman|Pepper Sweeney|Fred Tatasciore|Jack Whitehall,60,Chris Buck|Jennifer Lee,285,1124.219009,7.494793393333333
135397,Jurassic World,The park is open.,2015-06-06,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/njFixYzIxX8jsn6KMSEtAzi4avi.jpg'}",en,150.0,1671.537444,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",21197,6.7,13.5699,124.0,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins|Nick Robinson|Jake Johnson|Omar Sy|BD Wong|Judy Greer|Lauren Lapkus|Brian Tee|Katie McGrath|Andy Buckley|Eric Edelstein|Courtney James Clark|Colby Boothman-Shepard|Jimmy Fallon|James DuMont|Matt Burke|Anna Talakkottur|Matthew Cardarople|Michael Papajohn|William Gary Smith|Kelly Washington|Isaac Keys|Patrick Crowley|Chad Randall|Gary Weeks|Bill Ogilvie|Allan Tam|Yvonne Angulo|Chloe Perrin|Timothy Eulich|Kevin Foster|Bonnie Wild|Brad Bird|Colin Trevorrow|Justin Lacalamita|Tiffany Forest|Arlene Newman|Tait Fletcher|Jimmy Buffett|Tim Connolly|Johnny Otto|Erika Erica|Brandon Marc Higa|Martin Klebba|Eddie J. Fernandez|Rob Fuller|Julia Holt|Brandon Richardson|Megan Skiendiel,53,Colin Trevorrow,428,1521.537444,10.14358296
